"Aasta","Paige","0-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85 ja vanemad"
"2000","Rind (C50)",0,0,0,0,0,1,8,15,44,46,66,65,72,63,83,45,24,14
"2001","Rind (C50)",0,0,0,0,0,0,9,19,43,55,85,62,86,75,63,48,25,22
"2002","Rind (C50)",0,0,0,0,0,1,3,15,41,84,68,68,79,69,86,58,19,21
"2003","Rind (C50)",0,0,0,0,0,1,6,15,36,60,78,85,78,80,61,65,30,26
"2004","Rind (C50)",0,0,0,0,1,4,4,15,38,57,89,103,74,81,57,50,37,20
"2005","Rind (C50)",0,0,0,0,1,4,5,14,35,66,73,72,43,81,71,52,40,21
"2006","Rind (C50)",0,0,0,0,0,2,3,21,26,68,74,86,60,84,63,73,35,22
"2007","Rind (C50)",0,0,0,0,0,2,6,24,35,61,97,72,78,72,90,71,48,31
"2008","Rind (C50)",0,0,0,0,1,1,7,16,35,52,75,89,87,80,80,72,37,27
"2009","Rind (C50)",0,0,0,0,0,2,4,12,29,63,75,80,63,76,73,78,49,23
"2010","Rind (C50)",0,0,0,0,2,3,11,28,34,62,82,84,116,61,98,66,38,27
"2011","Rind (C50)",0,0,0,0,0,6,10,20,39,56,89,92,83,86,102,69,40,46
"2012","Rind (C50)",0,0,0,0,0,6,8,11,33,61,83,91,94,75,95,72,55,42
"2013","Rind (C50)",0,0,0,0,0,5,16,21,34,64,77,99,66,83,110,83,48,41
"2014","Rind (C50)",0,0,0,0,1,1,7,25,42,42,65,90,99,79,85,88,60,48
