Vanusegrupp,Meeste juhud,Naiste juhud,Meeste intsidents,Naiste intsidents
00 to 04,374,333,18.9,17.6
05 to 09,205, 135,11.5,7.9
10 to 14,223,188,11.8,10.5
15 to 19,424,335,20.8,17.2
20 to 24,664,662,31.3,31.5
25 to 29,1012,1459,47.3,68
30 to 34,1245,2027,61.5,100.3
35 to 39,1652,3315,78.1,154
40 to 44,2731,5923,118.9,251.9
45 to 49,4449,9023,197,389.6
50 to 54,7320,11419,368.5,564.6
55 to 59,12204,13035,685.5,713.7
60 to 64,21146,19087,1144.8,995.3
65 to 69,25157,19314,1760,1268
70 to 74,27074,18939,2341.9,1461.7
75 to 79,25636,19429,2865.5,1758.5
80 to 84,19605,17793,3248.7,2026.8
85+,15587,19999,3541.3,2137
